Req_ID,Title,Description,Type,ASIL,Priority,Module_Hint,Status,Notes
CUR-PORT-001,Port: IdFbk,d-axis stator current feedback from ADC/Clarke-Park transform,interface,ASIL-B,must,,approved,Port ShortName=IdFbk; Direction=R-Port; Interface ShortName=MtrId1; Interface Type=SenderReceiverInterface; Data Element=Val; Impl. Type=sint16; Phys. Unit=A×100; Resolution=0.01 A/LSB; Min Value=-16000; Max Value=16000; CompuMethod=MtrIdLnrl (×0.01 A/LSB); Comm. Mode=Explicit; Connected To=CurrentSens SWC (P-Port IdOut)
CUR-PORT-002,Port: IqFbk,q-axis stator current feedback from ADC/Clarke-Park transform,interface,ASIL-B,must,,approved,Port ShortName=IqFbk; Direction=R-Port; Interface ShortName=MtrIq1; Interface Type=SenderReceiverInterface; Data Element=Val; Impl. Type=sint16; Phys. Unit=A×100; Resolution=0.01 A/LSB; Min Value=-16000; Max Value=16000; CompuMethod=MtrIqLnrl (×0.01 A/LSB); Comm. Mode=Explicit; Connected To=CurrentSens SWC (P-Port IqOut)
CUR-PORT-003,Port: IdRef,d-axis current reference; 0 for SPMSM; MTPA-computed for IPMSM,interface,ASIL-B,must,,approved,Port ShortName=IdRef; Direction=R-Port; Interface ShortName=MtrId1; Interface Type=SenderReceiverInterface; Data Element=Val; Impl. Type=sint16; Phys. Unit=A×100; Resolution=0.01 A/LSB; Min Value=-5000; Max Value=5000; CompuMethod=MtrIdLnrl; Comm. Mode=Explicit; Connected To=MTPA SWC or tied to 0 for SPMSM
CUR-PORT-004,Port: IqRef,q-axis current reference from speed controller,interface,ASIL-B,must,,approved,Port ShortName=IqRef; Direction=R-Port; Interface ShortName=MtrIq1; Interface Type=SenderReceiverInterface; Data Element=Val; Impl. Type=float32; Phys. Unit=A; Resolution=0.001 A; Min Value=-160.0; Max Value=160.0; CompuMethod=ALnrl; Comm. Mode=Explicit; Connected To=SpdCtrl (P-Port IqRef)
CUR-PORT-005,Port: VdcBus,DC bus voltage measurement for voltage normalisation in PI output,interface,ASIL-B,must,,approved,Port ShortName=VdcBus; Direction=R-Port; Interface ShortName=VdcBus1; Interface Type=SenderReceiverInterface; Data Element=Val; Impl. Type=uint16; Phys. Unit=V×10; Resolution=0.1 V/LSB; Min Value=0; Max Value=8000; CompuMethod=VdcLnrl (×0.1 V/LSB); Comm. Mode=Explicit; Connected To=VdcMeas SWC (P-Port VdcOut)
CUR-PORT-006,Port: VdCmd,d-axis voltage command to PWM/SVM block after PI + decoupling,interface,ASIL-B,must,,approved,Port ShortName=VdCmd; Direction=P-Port; Interface ShortName=MtrVd1; Interface Type=SenderReceiverInterface; Data Element=Val; Impl. Type=sint16; Phys. Unit=V×100; Resolution=0.01 V/LSB; Min Value=-40000; Max Value=40000; CompuMethod=VdLnrl (×0.01 V/LSB); Comm. Mode=Explicit; Connected To=SVM/PWM SWC (R-Port VdIn)
CUR-PORT-007,Port: VqCmd,q-axis voltage command to PWM/SVM block after PI + decoupling,interface,ASIL-B,must,,approved,Port ShortName=VqCmd; Direction=P-Port; Interface ShortName=MtrVq1; Interface Type=SenderReceiverInterface; Data Element=Val; Impl. Type=sint16; Phys. Unit=V×100; Resolution=0.01 V/LSB; Min Value=-40000; Max Value=40000; CompuMethod=VqLnrl (×0.01 V/LSB); Comm. Mode=Explicit; Connected To=SVM/PWM SWC (R-Port VqIn)
CUR-RUN-001,Runnable: CurrCtrl_Init,"Set IdIntgState=0, IqIntgState=0, VdCmd=0, VqCmd=0. Cache CalPrm to locals.",interface,ASIL-B,must,,approved,"Runnable ShortName=CurrCtrl_Init; RTE Event=InitEvent; Cycle / Condition=Once at ECU startup; Ports Read=IdRef, IqRef, IdFbk, IqFbk, VdcBus; Ports Written=VdCmd, VqCmd; CalPrm Used=CurrCtrlPrm (all); IRV Read=—; IRV Written=IdIntgState, IqIntgState; ExclusiveArea=—; Init Required=Yes; Return Type=void; Timing Budget=<50 µs"
CUR-RUN-002,Runnable: CurrCtrl_100us,"1. Read IdFbk, IqFbk (sint16 → float32 via ×0.01)2. Read IqRef (float32), IdRef (sint16→float32)3. Compute errors: idErr=IdRef-IdFbk; iqErr=IqRef-IqFbk4. d-axis PI: Vd = KpId*idErr + IdIntg; IdIntg+=KiId*idErr*100e-65. q-axis PI: Vq = KpIq*iqErr + IqIntg; IqIntg+=KiIq*iqErr*100e-66. Decoupling FF: Vd -= omega*Lq*IqFbk; Vq += omega*Ld*IdFbk7. Voltage circle limiting: if |Vdq|>VoltLim*Vdc/sqrt(3) → scale down8. Convert float Vd/Vq → sint16 (×100) and write ports",interface,ASIL-B,must,,approved,"10 kHz — tightest timing constraint in system. No dynamic memory.; Runnable ShortName=CurrCtrl_100us; RTE Event=TimingEvent; Cycle / Condition=100 µs (10 kHz); Ports Read=IdFbk, IqFbk, IdRef, IqRef, VdcBus; Ports Written=VdCmd, VqCmd; CalPrm Used=KpId, KiId, KpIq, KiIq, VdcNom, VoltLim, Ld, Lq, Rs; IRV Read=—; IRV Written=IdIntgState, IqIntgState; ExclusiveArea=EA_CurrIntg; Init Required=No; Return Type=void; Timing Budget=<30 µs"
CUR-CAL-001,CalPrm: KpId,d-axis current PI proportional gain,timing,ASIL-B,must,CurrCtrl_100us,approved,CalPrm ShortName=KpId; Long Name=d-axis current PI proportional gain; Impl. Type=float32; Unit=V/A; Default Value=5.0; Min Value=0.1; Max Value=200.0; Resolution=0.01; A2L Access=Yes; Online Calibratable=Yes; CompuMethod=VPerALnrl; Used In Runnable=CurrCtrl_100us; Physical Description=P-gain for d-axis PI controller; Impact if Wrong=Low: slow Id tracking. High: oscillation — motor may destabilize
CUR-CAL-002,CalPrm: KiId,d-axis current PI integral gain,timing,ASIL-B,must,CurrCtrl_100us,approved,CalPrm ShortName=KiId; Long Name=d-axis current PI integral gain; Impl. Type=float32; Unit=V/(A·s); Default Value=50.0; Min Value=1.0; Max Value=5000.0; Resolution=0.1; A2L Access=Yes; Online Calibratable=Yes; CompuMethod=VPerALnrl; Used In Runnable=CurrCtrl_100us; Physical Description=I-gain for d-axis PI; per 100µs sample; Impact if Wrong=Too high: integrator diverges. Too low: steady-state Id error
CUR-CAL-003,CalPrm: KpIq,q-axis current PI proportional gain,timing,ASIL-B,must,CurrCtrl_100us,approved,Usually same as KpId for SPMSM; CalPrm ShortName=KpIq; Long Name=q-axis current PI proportional gain; Impl. Type=float32; Unit=V/A; Default Value=5.0; Min Value=0.1; Max Value=200.0; Resolution=0.01; A2L Access=Yes; Online Calibratable=Yes; CompuMethod=VPerALnrl; Used In Runnable=CurrCtrl_100us; Physical Description=P-gain for q-axis PI controller; Impact if Wrong=Low: slow torque response. High: oscillation
CUR-CAL-004,CalPrm: KiIq,q-axis current PI integral gain,timing,ASIL-B,must,CurrCtrl_100us,approved,CalPrm ShortName=KiIq; Long Name=q-axis current PI integral gain; Impl. Type=float32; Unit=V/(A·s); Default Value=50.0; Min Value=1.0; Max Value=5000.0; Resolution=0.1; A2L Access=Yes; Online Calibratable=Yes; CompuMethod=VPerALnrl; Used In Runnable=CurrCtrl_100us; Physical Description=I-gain for q-axis PI; per 100µs sample; Impact if Wrong=Too high: torque ripple / oscillation
CUR-CAL-005,CalPrm: VdcNom,Nominal DC bus voltage,timing,ASIL-B,must,CurrCtrl_100us,approved,Set once at calibration; CalPrm ShortName=VdcNom; Long Name=Nominal DC bus voltage; Impl. Type=float32; Unit=V; Default Value=400.0; Min Value=100.0; Max Value=800.0; Resolution=0.1; A2L Access=Yes; Online Calibratable=No; CompuMethod=VLnrl; Used In Runnable=CurrCtrl_100us; Physical Description=Nominal Vdc used for normalisation; not measured value; Impact if Wrong=Wrong value → incorrect per-unit scaling of voltage commands
CUR-CAL-006,CalPrm: VoltLim,Voltage limit factor,timing,ASIL-B,must,CurrCtrl_100us,approved,CalPrm ShortName=VoltLim; Long Name=Voltage limit factor; Impl. Type=float32; Unit=—; Default Value=0.90; Min Value=0.50; Max Value=0.98; Resolution=0.01; A2L Access=Yes; Online Calibratable=Yes; CompuMethod=VoltLimIdentcl; Used In Runnable=CurrCtrl_100us; Physical Description=Fraction of Vdc/√3 used as voltage limit circle radius; Impact if Wrong=Too high: overmodulation. Too low: reduced torque capability
CUR-CAL-007,CalPrm: Ld,d-axis stator inductance,timing,ASIL-B,must,CurrCtrl_100us,approved,Identify via standstill test; CalPrm ShortName=Ld; Long Name=d-axis stator inductance; Impl. Type=float32; Unit=H; Default Value=0.00100; Min Value=0.00001; Max Value=0.05000; Resolution=0.00001; A2L Access=Yes; Online Calibratable=No; CompuMethod=LdIdentcl; Used In Runnable=CurrCtrl_100us; Physical Description=d-axis inductance for cross-coupling decoupling feedforward; Impact if Wrong=Wrong: residual cross-coupling oscillation
CUR-CAL-008,CalPrm: Lq,q-axis stator inductance,timing,ASIL-B,must,CurrCtrl_100us,approved,Lq > Ld for IPMSM; CalPrm ShortName=Lq; Long Name=q-axis stator inductance; Impl. Type=float32; Unit=H; Default Value=0.00120; Min Value=0.00001; Max Value=0.05000; Resolution=0.00001; A2L Access=Yes; Online Calibratable=No; CompuMethod=LqIdentcl; Used In Runnable=CurrCtrl_100us; Physical Description=q-axis inductance for cross-coupling decoupling feedforward; Impact if Wrong=Wrong: cross-coupling oscillation at high speed
CUR-CAL-009,CalPrm: Rs,Stator phase resistance,timing,ASIL-B,must,CurrCtrl_100us,approved,Temp-dependent; may need derating table; CalPrm ShortName=Rs; Long Name=Stator phase resistance; Impl. Type=float32; Unit=Ω; Default Value=0.100; Min Value=0.001; Max Value=5.000; Resolution=0.001; A2L Access=Yes; Online Calibratable=No; CompuMethod=RsIdentcl; Used In Runnable=CurrCtrl_100us; Physical Description=Stator resistance for back-EMF compensation at low speed; Impact if Wrong=Wrong: steady-state voltage offset at low speed
CUR-IRV-001,IdIntgState,d-axis PI integrator accumulator (V),functional,ASIL-B,must,,approved,"Kind=IRV; Written By=CurrCtrl_100us, CurrCtrl_Init; Read By=CurrCtrl_100us; Protected By EA=EA_CurrIntg; Data Description=d-axis PI integrator accumulator (V); Init Value=0.0f; Size (bytes)=4"
CUR-IRV-002,IqIntgState,q-axis PI integrator accumulator (V),functional,ASIL-B,must,,approved,"Kind=IRV; Written By=CurrCtrl_100us, CurrCtrl_Init; Read By=CurrCtrl_100us; Protected By EA=EA_CurrIntg; Data Description=q-axis PI integrator accumulator (V); Init Value=0.0f; Size (bytes)=4"
CUR-EA-001,EA_CurrIntg,Protects IdIntgState and IqIntgState against concurrent access,functional,ASIL-B,must,,approved,Not strictly needed if 100µs is only runnable — but kept for future-proofing; Kind=ExclusiveArea; Written By=—; Read By=—; Protected By EA=—; Data Description=Protects IdIntgState and IqIntgState against concurrent access; Init Value=—; Size (bytes)=—; Persistence=—
