"SwCType: AtomicSwComponentType  |  Safety: ASIL-B  |  Cycles: Init (once) | 1 ms (TimingEvent) | 10 ms (TimingEvent)  |  Purpose: Motor protection — overcurrent, overvoltage, overtemperature detection; Iq derating",,,,,,,,,,,,,,,
■  PORTS AND INTERFACES,,,,,,,,,,,,,,,
REQ-ID,Port ShortName,Direction,Interface ShortName,Interface Type,Data Element,Impl. Type,Phys. Unit,Resolution,Min Value,Max Value,CompuMethod,Comm. Mode,Connected To,Description,ASIL
MON-PORT-001,IdMon,R-Port,MtrId1,SenderReceiverInterface,Val,sint16,A×100,0.01 A/LSB,-16000,16000,MtrIdLnrl,Explicit,CurrentSens SWC (P-Port IdOut),d-axis current for overcurrent monitoring (same interface as CurrCtrl),ASIL-B
MON-PORT-002,IqMon,R-Port,MtrIq1,SenderReceiverInterface,Val,sint16,A×100,0.01 A/LSB,-16000,16000,MtrIqLnrl,Explicit,CurrentSens SWC (P-Port IqOut),q-axis current for overcurrent monitoring,ASIL-B
MON-PORT-003,MtrT,R-Port,MtrT1,SenderReceiverInterface,Val,sint16,°C,1°C/LSB,-40,200,MtrTIdentcl,Explicit,TempSens SWC (P-Port MtrTOut),Motor winding temperature from NTC sensor,ASIL-B
MON-PORT-004,VdcMon,R-Port,VdcBus1,SenderReceiverInterface,Val,uint16,V×10,0.1 V/LSB,0,8000,VdcLnrl,Explicit,VdcMeas SWC (P-Port VdcOut),DC bus voltage for over/undervoltage monitoring,ASIL-B
MON-PORT-005,SpdMon,R-Port,SpdN1,SenderReceiverInterface,Val,uint16,rpm,1 rpm/LSB,0,15000,SpdNIdentcl,Explicit,SpeedObserver SWC (P-Port SpdOut),Actual speed for overspeed protection,ASIL-B
MON-PORT-006,IqMaxOut,P-Port,MtrIqMax1,SenderReceiverInterface,Val,float32,A,0.001 A,0.0,160.0,ALnrl,Explicit,SpdCtrl (R-Port IqMaxIn),"Maximum allowed Iq — derated by temperature, set to 0 on OC/OT fault",ASIL-B
MON-PORT-007,MtrProtSt,P-Port,MtrProtSt1,SenderReceiverInterface,St,uint8,—,—,0,7,MtrProtSt1 (TEXTTABLE: 0=OK 1=OC_Warn 2=OT_Warn 3=OC_Fault 4=OT_Fault 5=OV_Fault 6=UV_Fault 7=OS_Fault),Explicit,SysMgr SWC (R-Port MtrProtIn),Aggregated motor protection status — highest active fault code,ASIL-B
MON-PORT-008,OcSt,P-Port,MtrOcSt1,SenderReceiverInterface,St,boolean,—,—,FALSE,TRUE,MtrOcSt1 (TEXTTABLE),Explicit,"SafetyMon SWC (R-Port OcIn), FaultMgr",TRUE = overcurrent condition active (|Idq|² > IOcThd²),ASIL-B
MON-PORT-009,OtSt,P-Port,MtrOtSt1,SenderReceiverInterface,St,boolean,—,—,FALSE,TRUE,MtrOtSt1 (TEXTTABLE),Explicit,"SafetyMon SWC (R-Port OtIn), FaultMgr",TRUE = overtemperature condition active (with hysteresis),ASIL-B
■  RUNNABLE ENTITIES,,,,,,,,,,,,,,,
