Req_ID,Title,Description,Type,ASIL,Priority,Module_Hint,Status,Notes
DATATYPE-001,Data type: SpdN1,Speed,constraint,ASIL-B,must,,approved,OriginalID=09_DATATYPES-001; AppDataType ShortName=SpdN1; Long Name=Speed; PhysicalDimension=—; CompuMethod=SpdNIdentcl; CompuMethod Type=IDENTICAL; Factor=1; Offset=0; Unit=rpm; ImplDataType=uint16; C Primitive=uint16; Min (raw)=0; Max (raw)=65535; Used For=Motor speed signals
DATATYPE-002,Data type: MtrId1,Motor d-axis current,constraint,ASIL-B,must,,approved,"OriginalID=09_DATATYPES-002; AppDataType ShortName=MtrId1; Long Name=Motor d-axis current; PhysicalDimension=—; CompuMethod=MtrIdLnrl; CompuMethod Type=LINEAR; Factor=0.01; Offset=0; Unit=A; ImplDataType=sint16; C Primitive=sint16; Min (raw)=-16000; Max (raw)=16000; Used For=d-axis current: feedback, ref, monitor"
DATATYPE-003,Data type: MtrIq1,Motor q-axis current,constraint,ASIL-B,must,,approved,OriginalID=09_DATATYPES-003; AppDataType ShortName=MtrIq1; Long Name=Motor q-axis current; PhysicalDimension=—; CompuMethod=MtrIqLnrl; CompuMethod Type=LINEAR; Factor=0.01; Offset=0; Unit=A; ImplDataType=sint16/float32; C Primitive=sint16 (fbk) float32 (ref); Min (raw)=−16000/−160.0; Max (raw)=16000/160.0; Used For=q-axis current signals
DATATYPE-004,Data type: MtrIqMax1,Max allowed q-axis current,constraint,ASIL-B,must,,approved,OriginalID=09_DATATYPES-004; AppDataType ShortName=MtrIqMax1; Long Name=Max allowed q-axis current; PhysicalDimension=—; CompuMethod=ALnrl; CompuMethod Type=LINEAR; Factor=0.001; Offset=0; Unit=A; ImplDataType=float32; C Primitive=float32; Min (raw)=0.0; Max (raw)=160.0; Used For=Protection-derived Iq limit
DATATYPE-005,Data type: VdcBus1,DC bus voltage,constraint,ASIL-B,must,,approved,OriginalID=09_DATATYPES-005; AppDataType ShortName=VdcBus1; Long Name=DC bus voltage; PhysicalDimension=M1L2T−3I−2; CompuMethod=VdcLnrl; CompuMethod Type=LINEAR; Factor=0.1; Offset=0; Unit=V; ImplDataType=uint16; C Primitive=uint16; Min (raw)=0; Max (raw)=8000; Used For=DC bus voltage meas / monitor
DATATYPE-006,Data type: MtrVd1,Motor d-axis voltage,constraint,ASIL-B,must,,approved,OriginalID=09_DATATYPES-006; AppDataType ShortName=MtrVd1; Long Name=Motor d-axis voltage; PhysicalDimension=M1L2T−3I−1; CompuMethod=VdLnrl; CompuMethod Type=LINEAR; Factor=0.01; Offset=0; Unit=V; ImplDataType=sint16; C Primitive=sint16; Min (raw)=-40000; Max (raw)=40000; Used For=d-axis voltage command
DATATYPE-007,Data type: MtrVq1,Motor q-axis voltage,constraint,ASIL-B,must,,approved,OriginalID=09_DATATYPES-007; AppDataType ShortName=MtrVq1; Long Name=Motor q-axis voltage; PhysicalDimension=M1L2T−3I−1; CompuMethod=VqLnrl; CompuMethod Type=LINEAR; Factor=0.01; Offset=0; Unit=V; ImplDataType=sint16; C Primitive=sint16; Min (raw)=-40000; Max (raw)=40000; Used For=q-axis voltage command
DATATYPE-008,Data type: MtrT1,Motor temperature,constraint,ASIL-B,must,,approved,OriginalID=09_DATATYPES-008; AppDataType ShortName=MtrT1; Long Name=Motor temperature; PhysicalDimension=Θ1; CompuMethod=MtrTIdentcl; CompuMethod Type=IDENTICAL; Factor=1; Offset=-40; Unit=°C; ImplDataType=sint16; C Primitive=sint16; Min (raw)=-40; Max (raw)=200; Used For=Motor winding temperature
DATATYPE-009,Data type: OpMod1,Operation mode,constraint,ASIL-B,must,,approved,OriginalID=09_DATATYPES-009; AppDataType ShortName=OpMod1; Long Name=Operation mode; PhysicalDimension=—; CompuMethod=OpMod1; CompuMethod Type=TEXTTABLE; Factor=—; Offset=—; Unit=—; ImplDataType=uint8; C Primitive=uint8; Min (raw)=0; Max (raw)=4; Used For=System operation mode enum
DATATYPE-010,Data type: MtrProtSt1,Motor protection status,constraint,ASIL-B,must,,approved,OriginalID=09_DATATYPES-010; AppDataType ShortName=MtrProtSt1; Long Name=Motor protection status; PhysicalDimension=—; CompuMethod=MtrProtSt1; CompuMethod Type=TEXTTABLE; Factor=—; Offset=—; Unit=—; ImplDataType=uint8; C Primitive=uint8; Min (raw)=0; Max (raw)=7; Used For=Aggregated protection status
DATATYPE-011,Data type: MtrOcSt1,Overcurrent status,constraint,ASIL-B,must,,approved,OriginalID=09_DATATYPES-011; AppDataType ShortName=MtrOcSt1; Long Name=Overcurrent status; PhysicalDimension=—; CompuMethod=MtrOcSt1; CompuMethod Type=TEXTTABLE; Factor=—; Offset=—; Unit=—; ImplDataType=boolean; C Primitive=boolean; Min (raw)=0; Max (raw)=1; Used For=OC flag
DATATYPE-012,Data type: MtrOtSt1,Overtemperature status,constraint,ASIL-B,must,,approved,OriginalID=09_DATATYPES-012; AppDataType ShortName=MtrOtSt1; Long Name=Overtemperature status; PhysicalDimension=—; CompuMethod=MtrOtSt1; CompuMethod Type=TEXTTABLE; Factor=—; Offset=—; Unit=—; ImplDataType=boolean; C Primitive=boolean; Min (raw)=0; Max (raw)=1; Used For=OT flag
DATATYPE-013,Data type: Sts1,Generic boolean status,constraint,ASIL-B,must,,approved,OriginalID=09_DATATYPES-013; AppDataType ShortName=Sts1; Long Name=Generic boolean status; PhysicalDimension=—; CompuMethod=Sts1; CompuMethod Type=TEXTTABLE; Factor=—; Offset=—; Unit=—; ImplDataType=boolean; C Primitive=boolean; Min (raw)=0; Max (raw)=1; Used For=Generic status flag
